,0,1,drug concentration
0,260.5,260.5,0.1
1,260.90000000000003,260.90000000000003,0.20691380811147897
2,261.5,261.5,0.42813323987193935
3,262.8,262.8,0.8858667904100825
4,265.40000000000003,265.40000000000003,1.8329807108324356
5,270.3,270.3,3.79269019073225
6,279.5,279.5,7.847599703514611
7,296.0,296.0,16.23776739188721
8,323.70000000000005,323.70000000000005,33.59818286283781
9,366.70000000000005,366.70000000000005,69.51927961775606
10,427.20000000000005,427.20000000000005,143.8449888287663
11,504.20000000000005,504.20000000000005,297.6351441631316
12,593.9000000000001,593.9000000000001,615.8482110660261
13,692.3000000000001,692.3000000000001,1274.2749857031322
14,1000.0,406.20000000000005,2636.6508987303555
15,1000.0,404.90000000000003,5455.594781168515
16,1000.0,407.5,11288.378916846883
17,1000.0,408.8,23357.21469090121
18,1000.0,409.3,48329.30238571752
19,1000.0,409.6,100000.0
